RS_Rank,Title,Album,Artist,Year 
327,Unchained Melody,Anthology 1962-1974 (Rhino),The Righteous Brothers,1965
328,Highway 61 Revisited,Highway 61 Revisited (Columbia),Bob Dylan,1965
329,The Letter,The Letter (Sundazed),The Box Tops,1967
330,Complete Control,The Clash (Epic),The Clash,1979
331,All You Need is Love,Magical Mystery Tour (Capitol),The Beatles,1967
332,Killing Me Softly With His Song,Killing Me Softly (Atlantic),Roberta Flack,1973
333,Got My Mojo Working,The Anthology (Chess/MCA),Muddy Waters,1957
334,Nowhere to Run,The Ultimate Collection (Motown),Martha and the Vandellas,1965
335,Little Wing,Axis: Bold as Love (Experience Hendrix/MCA),The Jimi Hendrix Experience,1968
336,Sweet Dreams (Are Made of This),Sweet Dreams (RCA),Eurythmics,1983
337,Bad Moon Rising,Green River (Fantasy),Creedence Clearwater Revival,1969
338,Watching the Detectives,My Aim Is True (Rhino),Elvis Costello,1977
339,Tears in Heaven,"""Rush"" Soundtrack (Warner Bros.)",Eric Clapton,1992
340,All Shook Up,Elvis 30 #1 Hits (RCA),Elvis Presley,1957
341,The Great Pretender,The Magic Touch: An Anthology (Mercury),The Platters,1955
342,The Loco-Motion,The Loco-Motion (Rhino),Little Eva,1962
343,Spanish Harlem,The Very Best of Ben E. King (Rhino),Ben E. King,1960
344,That Lady (Part 1 and 2),The Essential Isley Brothers (Legacy),The Isley Brothers,1973
345,Candle in the Wind,Goodbye Yellow Brick Road (Island),Elton John,1973
346,California Love,Greatest Hits (Death Row),Dr. Dre and 2Pac,1996
347,La Bamba,The Ritchie Valens Story (Rhino),Ritchie Valens,1958
348,Piece of My Heart,Cheap Thrills (Columbia),Big Brother and the Holding Company,1968
349,Jim Dandy,Soul on Fire: The Best of LaVern Baker (Atlantic),Lavern Baker,1956
350,Runaround Sue,Runaround Sue (Capitol),Dion,1961
351,Baby I Need Your Loving,The Ultimate Collection (Motown),The Four Tops,1964
352,Just My Imagination,Anthology (Motown),The Temptations,1971
